country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Hungary,,,,,,99.4,,,,,,,,,,,,,,99.1,,,,,,,,,,98.9,,,,,,,98.8
Indonesia,,,,,,89.6,,,,,,,,,,97.4,,,,,,,,,,,,,,98.9,,97,,99.5,99.5,,98.8
India,,,,,,,66.3,,,,,,,,,,73.5,,,,,,,,,,84.2,,,,,88.4,,,,,
Iran,,70.9,,,,,,,,,,84.5,,,,,92.4,,,,,95.5,,,,,,,,,98.1,97.2,,98.8,,,
Iraq,,,,,,,,,,,,,,,,,,,,,,,,,,88.9,,,,,,,,,,,84.1
Israel,,,,,,,,,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Italy,,,,,,,99.7,,,,,,,,,,,,,,,,,,,,99.8,,,,,,,,,,99.9
Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,87.3,,,,,,,,,,,,92.9
Jordan,,,,,95.8,,,,,,,,,,,,,,,,,,,,,,,,99.3,,98.9,,99,,,98.8,99
Kazakhstan,,,,,,,,,,,,,,,99.7,,,,,,,,,,99.8,,,,,,,,,,99.8,,
Kenya,,,,,,,,,,,,,,,,,,,,,,,,,,93.3,,,,,,,83.2,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,99.7,,,,,,,,,,99.7,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,81.8,,,,,,87.9,,,,89.4,88.4,,
Kuwait,77.7,,,,,81.3,,,,,90.7,,,,,,,,,,93.8,,,,,,,,,,99.7,98.5,98.4,98.6,,,
Lao,,,,,,,,,,,,,,,,,,,,,78.8,,,,,88.1,82.6,,,,89.2,,,,,,
Lebanon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4,,,,
Liberia,,,,,,,,,,62.8,,,,,,,,,,65.8,,,,,,,,,,69.1,,,63.5,,,,
Libya,,,,,,,,,,97.8,,,,,,,,,,99.4,,,,,,,,,,99.8,,,,,,,99.9
Sri Lanka,,,,,,,91.9,,,,,,,,,,,,,,,,,,,,95.1,,,,,97,,97.3,,97.7,
Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,84.8,,,,,,,,,74.2,,
Lithuania,,,,,,,,,,,,,,,99.6,,,,,,,,,,,,99.7,,,,,,,,,,99.8
Latvia,,,,,,,,,,,,,,,99.8,,,,,,,,,,,99.7,,,,,,,,,,,99.7
"Macao, China",,,,,,,95.1,,,,,,,,,,,,,,,,,,,,99.4,,,,,99.6,,,,,99.7
Morocco,,,,,,,,58.1,,,,,,,,,,,,71.4,,,,,,,,,,80.8,,,,85.8,86.7,,88.8
Moldova,,,,,,,,,,,,,,,99.7,,,,,,,,,,,99.4,,,,,,,,,,,100
Madagascar,,,,,,,,,,,,,,,,,,,,,,,,,,72.7,,,,,,,,,65.9,,
Maldives,,,84.1,,,,,,,,94.9,,,,,98.1,,,,,98,,,,,98,,,,,,99.2,,,,,
Mexico,,,,,,93.1,,,,,,,,,,96,,,,,,,,,,96.8,,97.9,,97.5,97.6,98.1,98.2,98.4,98.7,98.4,98.4
